┃4K超高清,#genre#
北京4k,http://ddns.xryo.cn:8888/udp/239.111.205.51:5140$ipv4•线路1(551ms)
北京4k,http://ddns.xryo.cn:8888/udp/239.111.205.51:5140$ipv4•线路2(551ms)
东方4K,http://ddns.xryo.cn:8888/udp/239.111.205.67:5140$ipv4•线路1(558ms)
东方4K,http://ddns.xryo.cn:8888/udp/239.111.205.67:5140$ipv4•线路2(558ms)
湖南4K,http://ddns.xryo.cn:8888/udp/239.111.205.63:5140$ipv4•线路1(553ms)
湖南4K,http://ddns.xryo.cn:8888/udp/239.111.205.63:5140$ipv4•线路2(553ms)
深圳4k,https://cdn3.163189.xyz/163189/szws4k$ipv4•线路1(343ms)
深圳4k,https://cdn3.163189.xyz/163189/szws4k$ipv4•线路2(343ms)
四川4k,http://ddns.xryo.cn:8888/udp/239.111.205.62:5140$ipv4•线路1(514ms)
四川4k,http://ddns.xryo.cn:8888/udp/239.111.205.62:5140$ipv4•线路2(514ms)
┃央视频道,#genre#
CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$ipv4•线路1(130ms)
CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$ipv4•线路2(130ms)
CCTV1,http://cdn6.veryfast.filegear-sg.me/live/cctv1/stream.m3u8$ipv4•线路3(218ms)
CCTV1,http://cdn6.veryfast.filegear-sg.me/live/cctv1/stream.m3u8$ipv4•线路4(218ms)
CCTV1,http://120.202.94.181:9446/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$ipv4•线路5(229ms)
CCTV1,http://120.202.94.181:9446/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$ipv4•线路6(229ms)
CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8$ipv4•线路7(251ms)
CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8$ipv4•线路8(251ms)
CCTV1,http://43.251.226.89:8080/play/971.m3u8$ipv4•线路9(279ms)
CCTV1,http://43.251.226.89:8080/play/971.m3u8$ipv4•线路10(279ms)
CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8$ipv4•线路11(375ms)
CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8$ipv4•线路12(375ms)
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8$ipv4•线路13(379ms)
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8$ipv4•线路14(379ms)
